Device_ID,Device_Type,Purchase_Date,Age,Manufacturer,Model,Country,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Maintenance_Report
MD03449,Defibrillator,4/23/2018,7,CardioSync,Model-100,France,7115.349585,7.933823998,3,0,1,Component component upgrade after detecting overheating; functionality restored. log cleaned low priority fault
MD02024,Infusion Pump,12/10/2020,5,MedEquip,Model-650,Italy,7290.780658,7.838711422,3,4,2,battery wear caused operational delay; replacement initiated. driver update device required inspection
MD04239,MRI Scanner,11/22/2023,2,ImagingTech,Model-650,France,5635.521788,13.91104527,1,2,3,data lag caused operational delay; component upgrade initiated. data loss emergency shutdown
MD00153,Defibrillator,3/3/2021,4,RescueTech,Model-450,UK,5001.360188,29.05951023,3,1,3,Routine check completed; battery wear observed during diagnostics. sensor replaced emergency shutdown
MD03743,Defibrillator,5/16/2019,6,RescueTech,Model-450,Canada,7555.132928,13.94235481,4,4,2,Component inspection after detecting voltage spike; functionality restored. driver update moderate delay
MD01925,X-Ray Machine,6/19/2019,6,CardioSync,Model-250,UK,11190.79924,3.337001709,4,3,2,software crash caused operational delay; software patch initiated. reviewed logs performance warning
MD05194,Defibrillator,9/20/2013,12,RescueTech,Model-600,Japan,4511.507493,15.16939516,1,2,2,Component recalibration after detecting overheating; functionality restored. component issue device required inspection
MD05160,Infusion Pump,2/2/2023,2,ImagingTech,Model-450,Japan,13615.69325,15.39916431,1,2,3,Component replacement after detecting voltage spike; functionality restored. data loss system crash
MD02451,MRI Scanner,9/22/2023,2,MedEquip,Model-550,Canada,6311.195836,1.225702567,2,0,1,Routine check completed; battery wear observed during diagnostics. log cleaned log file cleared
MD01761,Defibrillator,10/14/2023,2,ImagingTech,Model-150,Canada,16619.23669,25.65134426,3,0,3,Component firmware update after detecting voltage spike; functionality restored. critical failure urgent inspection needed
MD04960,MRI Scanner,5/29/2014,11,MedEquip,Model-200,France,-254.7143202,10.43245903,5,1,3,Component recalibration after detecting software crash; functionality restored. sensor replaced critical failure
MD05200,PET Scanner,1/25/2014,11,RescueTech,Model-650,France,21773.5439,7.055234692,3,1,3,Component software patch after detecting data lag; functionality restored. critical failure critical failure
MD01507,X-Ray Machine,9/21/2014,11,UltraMed,Model-500,France,8529.633209,13.59808664,4,3,3,sensor misalignment caused operational delay; recalibration initiated. critical failure system crash
MD00528,MRI Scanner,6/6/2015,10,CardioSync,Model-350,UK,11482.62078,5.863019298,2,2,3,Routine check completed; software crash observed during diagnostics. sensor replaced system crash
MD00791,Defibrillator,10/23/2020,5,UltraMed,Model-250,Japan,1601.415481,9.502930571,2,2,1,Routine check completed; battery wear observed during diagnostics. quick fix stable condition
MD01215,Defibrillator,9/14/2018,7,ScanPro,Model-150,France,3227.752741,1.985457914,3,2,1,voltage spike caused operational delay; inspection initiated. quick fix low priority fault
